FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
171221;0000;24;;;
171222;0000;18;;;
171223;0000;12;;;
171224;0000;10;;;
171225;0000;;;;
171226;0000;8;;;
171227;0000;15;;;
171228;0000;9;;;
171229;0000;11;;;
171230;0000;11;;;
171231;0000;13;;;
180101;0000;12;;;
180102;0000;9;;;
180103;0000;12;;;
180104;0000;14;;;
180105;0000;10;;;
180106;0000;10;;;
180107;0000;7;;;
180108;0000;6;;;
180109;0000;6;;;
180110;0000;7;;;
180111;0000;5;;;
180112;0000;9;;;
180113;0000;10;;;
180114;0000;7;;;
180115;0000;9;;;
180116;0000;7;;;
180117;0000;8;;;
180118;0000;7;;;
180119;0000;;;6;
180120;0000;;;3;
180121;0000;;;2;
180122;0000;;;3;
180123;0000;10;;;
180124;0000;9;;;
180125;0000;7;;;
180126;0000;6;;;
180127;0000;6;;;
180128;0000;6;;;
180129;0000;5;;;
180130;0000;9;;;
180131;0000;7;;;
180201;0000;5;;;
180202;0000;4;;;
180203;0000;7;;;
180204;0000;4;;;
180205;0000;5;;;
180206;0000;8;;;
180207;0000;8;;;
180208;0000;14;;;
180209;0000;16;;;
180210;0000;16;;;
180211;0000;16;;;
180212;0000;5;;;
180213;0000;4;;;
180214;0000;8;;;
180215;0000;4;;;
180216;0000;5;;;
180217;0000;6;;;
180218;0000;7;;;
180219;0000;11;;;
180220;0000;10;;;
180221;0000;13;;;
180222;0000;8;;;
180223;0000;11;;;
180224;0000;7;;;
180225;0000;4;;;
180226;0000;6;;;
180227;0000;8;;;
180228;0000;4;;;
180301;0000;5;;;
180302;0000;6;;;
180303;0000;16;;;
180304;0000;19;;;
180305;0000;7;;;
180306;0000;7;;;
180307;0000;12;;;
180308;0000;10;;;
180309;0000;17;;;
180310;0000;13;;;
180311;0000;13;;;
180312;0000;16;;;
180313;0000;19;;;
180314;0000;21;;;
180315;0000;20;;;
180316;0000;32;;;
180317;0000;28;;;
180318;0000;11;;;
180319;0000;30;;;
180320;0000;95;;;
180321;0000;71;;;
180322;0000;20;;;
180323;0000;34;;;
180324;0000;34;;;
180325;0000;16;;;
180326;0000;22;;;
180327;0000;25;;;
180328;0000;20;;;
180329;0000;20;;;
180330;0000;12;;;
180331;0000;18;;;
180401;0000;13;;;
180402;0000;17;;;
180403;0000;35;;;
180404;0000;28;;;
180405;0000;26;;;
180406;0000;39;;;
180407;0000;41;;;
180408;0000;54;;;
180409;0000;59;;;
180410;0000;30;;;
180411;0000;35;;;
180412;0000;41;;;
180413;0000;67;;;
180414;0000;30;;;
180415;0000;30;;;
180416;0000;28;;;
180417;0000;15;;;
180418;0000;18;;;
180419;0000;33;;;
180420;0000;29;;;
